group_key,image_file,max_entropy,min_confidence,min_margin,layout_mode,foreground_ratio,bg_type
Нц-45-0121,dataset/Нц-45-0121_orig.jpg,1.297821044921875,0.3946511149406433,0.00602644681930542,single-fragment,0.216249,white
БП12-Г02-2655,dataset/БП12-Г02-2655_orig.jpg,1.6256115436553955,0.39636385440826416,0.18707476556301117,single-fragment,0.296366,white
Нейш3А-2018-0742,dataset/Нейш3А-2018-0742_orig.jpg,1.362636685371399,0.40788504481315613,0.05068260431289673,single-fragment,0.528831,white
Нц-46-422,dataset/Нц-46-422_orig.jpg,1.305827021598816,0.42885878682136536,0.05718719959259033,multi-view,0.177079,white
Нц-32-0785,dataset/Нц-32-0785_orig.jpg,1.518618106842041,0.4304298758506775,0.1926964670419693,single-fragment,0.254586,white
Нейш3А-2018-0102,dataset/Нейш3А-2018-0102_orig.jpg,1.2582212686538696,0.436250239610672,0.06607341766357422,multi-view,0.310452,white
БП12-Г01-5844,dataset/БП12-Г01-5844_orig.jpg,1.1625086069107056,0.43825864791870117,0.013577371835708618,multi-view,0.389415,white
БП12-Г01-7274,dataset/БП12-Г01-7274_orig.jpg,1.535083532333374,0.45533329248428345,0.28738319873809814,multi-view,0.489364,white
Нц-102-1945,dataset/Нц-102-1945_orig.jpg,1.1102402210235596,0.46012964844703674,0.06503373384475708,multi-view,0.30926,white
Нейш3А-2018-1182,dataset/Нейш3А-2018-1182_orig.jpg,1.4309208393096924,0.4613678753376007,0.1842043399810791,multi-view,0.178359,white
Нейш3А-2018-1284,dataset/Нейш3А-2018-1284_orig.jpg,1.3719701766967773,0.46658849716186523,0.17573273181915283,single-fragment,0.409997,white
Нц-49-074,dataset/Нц-49-074_orig.jpg,1.3018577098846436,0.4714343249797821,0.15911740064620972,single-fragment,0.31591,white
Нейш3А-2018-5597,dataset/Нейш3А-2018-5597_orig.jpg,1.5836310386657715,0.47325170040130615,0.34340471029281616,multi-view,0.30789,white
Нц-46-727,dataset/Нц-46-727_orig.jpg,1.2187103033065796,0.4932638704776764,0.1548343300819397,multi-view,0.200603,white
Нейш3А-2018-2926,dataset/Нейш3А-2018-2926_orig.jpg,1.1741948127746582,0.4951534867286682,0.14018607139587402,single-fragment,0.16481,white
Нц-33-5519,dataset/Нц-33-5519_orig.jpg,1.3805350065231323,0.49578529596328735,0.238072007894516,single-fragment,0.388404,white
Нц-25-0652,dataset/Нц-25-0652_orig.jpg,1.470845103263855,0.49746760725975037,0.33869674801826477,multi-view,0.253738,white
Нейш3А-2018-1174,dataset/Нейш3А-2018-1174_orig.jpg,1.3577604293823242,0.5071845650672913,0.27977651357650757,multi-view,0.240139,white
Нейш3А-2018-0839,dataset/Нейш3А-2018-0839_orig.jpg,1.2804608345031738,0.5102095603942871,0.23258042335510254,multi-view,0.295094,white
Нц-49-166,dataset/Нц-49-166_orig.jpg,1.4147520065307617,0.514300525188446,0.3365403413772583,multi-view,0.256503,white
Нц-45-1537,dataset/Нц-45-1537_orig.jpg,1.390177607536316,0.5474186539649963,0.3814406991004944,single-fragment,0.331438,white
Нц-45-1035,dataset/Нц-45-1035_orig.jpg,1.3497745990753174,0.5523179769515991,0.3513290286064148,multi-view,0.345463,white
Нц-33-2990,dataset/Нц-33-2990_orig.jpg,1.3773775100708008,0.5585620403289795,0.39326199889183044,multi-view,0.052794,white
Нц-46-193,dataset/Нц-46-193_orig.jpg,1.3979368209838867,0.5627365708351135,0.44540756940841675,single-fragment,0.35605,white
Нейш3А-2018-5706,dataset/Нейш3А-2018-5706_orig.jpg,1.3190181255340576,0.5734155774116516,0.4259692430496216,single-fragment,0.281932,white
БП12-Г01-2476,dataset/БП12-Г01-2476_orig.jpg,1.3638527393341064,0.5748716592788696,0.39611274003982544,multi-view,0.351708,white
Нц-32-0918,dataset/Нц-32-0918_orig.jpg,1.3678220510482788,0.5753283500671387,0.44369906187057495,multi-view,0.177848,white
Нц-31-0593,dataset/Нц-31-0593_orig.jpg,1.2561701536178589,0.5760871767997742,0.362582266330719,single-fragment,0.287752,white
Нейш3А-2018-3050,dataset/Нейш3А-2018-3050_orig.jpg,1.0682846307754517,0.5763030052185059,0.27686864137649536,multi-view,0.639792,white
Нейш3А-2018-2925,dataset/Нейш3А-2018-2925_orig.jpg,1.1825015544891357,0.5843820571899414,0.34578490257263184,multi-view,0.153187,white
Нейш3А-2018-0499,dataset/Нейш3А-2018-0499_orig.jpg,1.0945202112197876,0.5859534740447998,0.3072825074195862,multi-view,0.337254,white
Нейш3А-2018-1042,dataset/Нейш3А-2018-1042_orig.jpg,1.1931160688400269,0.5875738859176636,0.36072996258735657,single-fragment,0.374222,white
Нц-53-349,dataset/Нц-53-349_orig.jpg,1.1564531326293945,0.5986031889915466,0.3710572123527527,multi-view,0.151711,white
Нц-38-09,dataset/Нц-38-09_orig.jpg,1.1966907978057861,0.604847252368927,0.4171037971973419,multi-view,0.270376,white
