Unnamed: 0,code,name,description,material,size,fragm,cultlayer,execorg,survyear,row_id,image_file,image_abs,image_exists,artifact_id,group_key,name_raw,name_norm,material_raw,material_norm,fragm_raw,fragm_norm,raw_label,norm_label,label_is_missing,label_is_uncertain,group_has_conflict,is_very_rare,quality_flag,split,layout_mode,foreground_ratio,bg_type,has_scale_bar,has_overlay_text,material_group,group_size,label_proxy
1990,БП12-Г02-3927,Крышка,Сосуда красноглиняного с нагарос внутри крышки профиль,Красноглиняная керамика,Д27 см,Фрагмент,Горизонт 2/ темная гумусированная супесь с кирпичной крошкой,,,233,dataset/БП12-Г02-3927_orig.jpg,cu_data/dataset/БП12-Г02-3927_orig.jpg,True,БП12-Г02-3927,БП12-Г02-3927,Крышка,крышка,Красноглиняная керамика,керамика,Фрагмент,фрагмент,Крышка,крышка,False,False,False,False,ok,pool_candidate,multi-view,0.308059,white,True,True,керамика,1,крышка
2056,БП12-Г02-4540,Блюдце,Блюдца фарфорового с росписью профиль,Фарфор,Д14-9; высота 3 см,Фрагмент,Горизонт 2/ Темный гумусированный суглинок с щепой и органикой,,,243,dataset/БП12-Г02-4540_orig.jpg,cu_data/dataset/БП12-Г02-4540_orig.jpg,True,БП12-Г02-4540,БП12-Г02-4540,Блюдце,блюдце,Фарфор,фарфор,Фрагмент,фрагмент,Блюдце,блюдце,False,False,False,False,ok,pool_candidate,multi-view,0.350858,white,False,False,фарфор_фаянс,1,блюдце
2085,БП12-Г02-4708,Крышка,Чайника фарфорового крышка фрагментированная,Фарфор,"Д5,5 см",Фрагмент,Горизонт 2/ Темная гумусированная супесь,,,244,dataset/БП12-Г02-4708_orig.jpg,cu_data/dataset/БП12-Г02-4708_orig.jpg,True,БП12-Г02-4708,БП12-Г02-4708,Крышка,крышка,Фарфор,фарфор,Фрагмент,фрагмент,Крышка,крышка,False,False,False,False,ok,pool_candidate,multi-view,0.261936,white,True,False,фарфор_фаянс,1,крышка
2233,БП12-Т01-8073,Блюдце,Блюдца фаянсового с полихромной росписью донца фр-т,Фаянс,Д6 см,Фрагмент,,,,256,dataset/БП12-Т01-8073_orig.jpg,cu_data/dataset/БП12-Т01-8073_orig.jpg,True,БП12-Т01-8073,БП12-Т01-8073,Блюдце,блюдце,Фаянс,фаянс,Фрагмент,фрагмент,Блюдце,блюдце,False,False,False,False,ok,pool_candidate,multi-view,0.325259,white,True,True,фарфор_фаянс,1,блюдце
959,Кроп-2013-252,Блюдце,"Блюдца фаянсового с белой поливой снаружи и внутри, с фиолетовым подглазурным декольным орнаментом и клеймом на донце профиля фр-т",Фаянс,"Двен=14; Ддон=7; выс=2,5 см",Фрагмент,,,2013.0,91,dataset/Кроп-2013-252_orig.jpg,cu_data/dataset/Кроп-2013-252_orig.jpg,True,Кроп-2013-252,Кроп-2013-252,Блюдце,блюдце,Фаянс,фаянс,Фрагмент,фрагмент,Блюдце,блюдце,False,False,False,False,ok,pool_candidate,multi-view,0.266389,white,False,False,фарфор_фаянс,1,блюдце
1197,Нев11-Г04-182,Тарелка,Тарелки красноглиняной с прозрачной поливой и следами росписи венчика фр-т,Керамика,Д20 см,Фрагмент,Гориз.4,,2011.0,140,dataset/Нев11-Г04-182_orig.jpg,cu_data/dataset/Нев11-Г04-182_orig.jpg,True,Нев11-Г04-182,Нев11-Г04-182,Тарелка,тарелка,Керамика,керамика,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.200842,white,True,False,керамика,1,тарелка
11800,Нейш3А-2018-0102,Крышка,Крышечки белого матового стекла круглой клейменой  профиль,Стекло,"Д=7,5 см",Фрагмент,Современный строительный мусор,,,894,dataset/Нейш3А-2018-0102_orig.jpg,cu_data/dataset/Нейш3А-2018-0102_orig.jpg,True,Нейш3А-2018-0102,Нейш3А-2018-0102,Крышка,крышка,Стекло,стекло,Фрагмент,фрагмент,Крышка,крышка,False,False,False,False,ok,pool_candidate,multi-view,0.310452,white,True,False,стекло,1,крышка
11804,Нейш3А-2018-0111,Тарелка,Тарелки фаянсовой с бордовым линейным орнаментом внутри профиль,Фаянс,"7,5х6,3 см",Фрагмент,Современный строительный мусор,,,897,dataset/Нейш3А-2018-0111_orig.jpg,cu_data/dataset/Нейш3А-2018-0111_orig.jpg,True,Нейш3А-2018-0111,Нейш3А-2018-0111,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.344706,white,True,True,фарфор_фаянс,1,тарелка
11808,Нейш3А-2018-0118,Блюдце,Блюдца фарфорового клейменого донца фр-т,Фарфор,"7х4,2 см",Фрагмент,Современный строительный мусор,,,899,dataset/Нейш3А-2018-0118_orig.jpg,cu_data/dataset/Нейш3А-2018-0118_orig.jpg,True,Нейш3А-2018-0118,Нейш3А-2018-0118,Блюдце,блюдце,Фарфор,фарфор,Фрагмент,фрагмент,Блюдце,блюдце,False,False,False,False,ok,pool_candidate,multi-view,0.217984,white,True,True,фарфор_фаянс,1,блюдце
12298,Нейш3А-2018-1042,Тарелка,Тарелки фаянсовой с синим растительным орнаментом в стиле деколь внутри клейменой профиль,Фаянс,"Д=20,5 д=11,5  см",Фрагмент,Строительный мусор с включением темно-коричневой супеси,,,972,dataset/Нейш3А-2018-1042_orig.jpg,cu_data/dataset/Нейш3А-2018-1042_orig.jpg,True,Нейш3А-2018-1042,Нейш3А-2018-1042,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,single-fragment,0.374222,white,False,True,фарфор_фаянс,1,тарелка
12361,Нейш3А-2018-1178,Тарелка,Тарелки белоглиняной с желтой поливой снаружи и внутри глубокой профиль,Керамика,Д=9+ см,Фрагмент,Современный строительный мусор,,,978,dataset/Нейш3А-2018-1178_orig.jpg,cu_data/dataset/Нейш3А-2018-1178_orig.jpg,True,Нейш3А-2018-1178,Нейш3А-2018-1178,Тарелка,тарелка,Керамика,керамика,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.45843,white,False,True,керамика,1,тарелка
12518,Нейш3А-2018-1533,Изразец,Изразца печного красноглиняного торца фр-т,Керамика,"9+х4,5+х2 см",Фрагмент,Темно-коричневая супесь,,,997,dataset/Нейш3А-2018-1533_orig.jpg,cu_data/dataset/Нейш3А-2018-1533_orig.jpg,True,Нейш3А-2018-1533,Нейш3А-2018-1533,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,single-fragment,0.420815,white,True,True,керамика,1,изразец
12798,Нейш3А-2018-2047,Крышка,Крышки красноглиняной с темно-коричневой поливой снаружи и белой внутри полусферической формы профиль,Керамика,Д=10+ см,Фрагмент,Современный строительный мусор,,,1013,dataset/Нейш3А-2018-2047_orig.jpg,cu_data/dataset/Нейш3А-2018-2047_orig.jpg,True,Нейш3А-2018-2047,Нейш3А-2018-2047,Крышка,крышка,Керамика,керамика,Фрагмент,фрагмент,Крышка,крышка,False,False,False,False,ok,pool_candidate,multi-view,0.256974,white,False,False,керамика,1,крышка
13708,Нейш3А-2018-5229,Тарелка,"Тарелочки фаянсовой с цветочным орнаментом (розовый, зеленый) внутри клейменой профиль",Фаянс,"Д=13,5 д=8,5 h=2,5 см",Фрагмент,Современный строительный мусор,,,1098,dataset/Нейш3А-2018-5229_orig.jpg,cu_data/dataset/Нейш3А-2018-5229_orig.jpg,True,Нейш3А-2018-5229,Нейш3А-2018-5229,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.426116,white,False,True,фарфор_фаянс,1,тарелка
13932,Нейш3А-2018-7207,Тарелка,Тарелки фаянсовой с синей пейзажной росписью внутри донца фр-т,Фаянс,"д=10,5+  см",Фрагмент,Темно-коричневая супесь,,,1133,dataset/Нейш3А-2018-7207_orig.jpg,cu_data/dataset/Нейш3А-2018-7207_orig.jpg,True,Нейш3А-2018-7207,Нейш3А-2018-7207,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,single-fragment,0.239812,white,True,False,фарфор_фаянс,1,тарелка
5866,Нц-23-0561,Изразец,Изразца красноглиняного с белой поливой румпы фр-т,Глина,10+ х 4.5+ х 5 см,Фрагмент,,,,520,dataset/Нц-23-0561_orig.jpg,cu_data/dataset/Нц-23-0561_orig.jpg,True,Нц-23-0561,Нц-23-0561,Изразец,изразец,Глина,глина,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,multi-view,0.145887,white,True,False,керамика,1,изразец
6530,Нц-26-027,Изразец,Изразца красноглиняного фрагмент,Глина,9 х 7 х 1 см,Фрагмент,Техногенный / горизонт 2,,,543,dataset/Нц-26-027_orig.jpg,cu_data/dataset/Нц-26-027_orig.jpg,True,Нц-26-027,Нц-26-027,Изразец,изразец,Глина,глина,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,single-fragment,0.435531,white,True,True,керамика,1,изразец
6882,Нц-27-591,Изразец,Изразца красноглиняного с темно-серебристой поливой и орнаментом фр-т,Керамика,11+ x 4.7+ x 6.3 см,Фрагмент,Серо-желтая супесь/ гориз.3,,,549,dataset/Нц-27-591_orig.jpg,cu_data/dataset/Нц-27-591_orig.jpg,True,Нц-27-591,Нц-27-591,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,single-fragment,0.372524,white,True,False,керамика,1,изразец
6958,Нц-29-17,Изразец,Изразца красноглиняного  с черной поливой и растительным орнаментом фр-т,Керамика,"11,6+х10,7+х6+ см",Фрагмент,Темная супесь/гориз.3,,,551,dataset/Нц-29-17_orig.jpg,cu_data/dataset/Нц-29-17_orig.jpg,True,Нц-29-17,Нц-29-17,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,single-fragment,0.263901,white,False,False,керамика,1,изразец
7471,Нц-31-0593,Изразец,Изразца красноглиняного горшковидного фр-т,Керамика,"7,5х5,4х0,5 см",Фрагмент,Супесь светло-серая/ гориз.5,,,569,dataset/Нц-31-0593_orig.jpg,cu_data/dataset/Нц-31-0593_orig.jpg,True,Нц-31-0593,Нц-31-0593,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,single-fragment,0.287752,white,True,True,керамика,1,изразец
7669,Нц-32-0136,Тарелка,Тарелки красноглиняной с желтой поливой внутри придонной части фр-т,Керамика,,Фрагмент,Дерновый слой/ гориз.5,,,582,dataset/Нц-32-0136_orig.jpg,cu_data/dataset/Нц-32-0136_orig.jpg,True,Нц-32-0136,Нц-32-0136,Тарелка,тарелка,Керамика,керамика,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,single-fragment,0.178583,white,False,False,керамика,1,тарелка
7794,Нц-32-0918,Изразец,Изразца красноглиняного румпы фр-т,Керамика,,Фрагмент,Серая мешаная супесь/ гориз.4,,,590,dataset/Нц-32-0918_orig.jpg,cu_data/dataset/Нц-32-0918_orig.jpg,True,Нц-32-0918,Нц-32-0918,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,multi-view,0.177848,white,False,False,керамика,1,изразец
7814,Нц-32-1037,Тарелка,Тарелки красноглиняной с зеленой росписью по желтой поливе внутри края фр-т,Керамика,,Фрагмент,Дерн/ гориз.6,,,594,dataset/Нц-32-1037_orig.jpg,cu_data/dataset/Нц-32-1037_orig.jpg,True,Нц-32-1037,Нц-32-1037,Тарелка,тарелка,Керамика,керамика,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,single-fragment,0.407303,white,True,True,керамика,1,тарелка
8017,Нц-33-2989,Тарелка,Тарелки фаянсовой с синей росписью стенки фр-т,Фаянс,,Фрагмент,"Дерн со щепой, заполнение ямы/ гориз.6",,,623,dataset/Нц-33-2989_orig.jpg,cu_data/dataset/Нц-33-2989_orig.jpg,True,Нц-33-2989,Нц-33-2989,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,single-fragment,0.194626,white,True,False,фарфор_фаянс,1,тарелка
8170,Нц-33-5519,Тарелка,Тарелки красноглиняной со следами белой поливы снаружи и внутри профиля фр-т,Керамика,D14 см,Фрагмент,Серая супесь/ гориз.5,,,635,dataset/Нц-33-5519_orig.jpg,cu_data/dataset/Нц-33-5519_orig.jpg,True,Нц-33-5519,Нц-33-5519,Тарелка,тарелка,Керамика,керамика,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,single-fragment,0.388404,white,True,True,керамика,1,тарелка
8256,Нц-33-5749,Блюдце,Блюдца фарфорового края фр-т,Фарфор,D12 см,Фрагмент,Мешаная желтая супесь/ гориз.2,,,644,dataset/Нц-33-5749_orig.jpg,cu_data/dataset/Нц-33-5749_orig.jpg,True,Нц-33-5749,Нц-33-5749,Блюдце,блюдце,Фарфор,фарфор,Фрагмент,фрагмент,Блюдце,блюдце,False,False,False,False,ok,pool_candidate,single-fragment,0.246095,white,True,False,фарфор_фаянс,1,блюдце
8637,Нц-36-503,Тарелка,Тарелки фаянсовой c синей цветочной росписью венчика фр-т,Фаянс,D23 см,Фрагмент,Древесная щепа/ гориз.1,,,666,dataset/Нц-36-503_orig.jpg,cu_data/dataset/Нц-36-503_orig.jpg,True,Нц-36-503,Нц-36-503,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.121874,white,True,False,фарфор_фаянс,1,тарелка
8783,Нц-37-0653,Изразец,Изразца красноглиняного с белой поливой фр-т,Керамика,12.5+ 9 х 5.8 см,Фрагмент,Строительный мусор/ гориз.1.1,,,682,dataset/Нц-37-0653_orig.jpg,cu_data/dataset/Нц-37-0653_orig.jpg,True,Нц-37-0653,Нц-37-0653,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,multi-view,0.209171,white,False,False,керамика,1,изразец
9969,Нц-44-1075,Тарелка,Тарелки фаянсовой венчика фр-т,Фаянс,D32 см,Фрагмент,Щепа/ гориз.3,,,713,dataset/Нц-44-1075_orig.jpg,cu_data/dataset/Нц-44-1075_orig.jpg,True,Нц-44-1075,Нц-44-1075,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,single-fragment,0.313275,white,True,False,фарфор_фаянс,1,тарелка
10159,Нц-45-0121,Тарелка,Тарелки фарфоровой стенки фр-т,Фарфор,,Фрагмент,Шлак/ гориз.6,,,733,dataset/Нц-45-0121_orig.jpg,cu_data/dataset/Нц-45-0121_orig.jpg,True,Нц-45-0121,Нц-45-0121,Тарелка,тарелка,Фарфор,фарфор,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,single-fragment,0.216249,white,True,False,фарфор_фаянс,1,тарелка
10180,Нц-45-0273,Тарелка,Тарелки фаянсовой венчика фр-т,Фаянс,D24 см,Фрагмент,Шлак/ гориз.6,,,741,dataset/Нц-45-0273_orig.jpg,cu_data/dataset/Нц-45-0273_orig.jpg,True,Нц-45-0273,Нц-45-0273,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,single-fragment,0.274693,white,True,False,фарфор_фаянс,1,тарелка
10338,Нц-45-1035,Изразец,Изразца красноглиняного со следами темной поливы румпы фр-т,Керамика,,Фрагмент,Шлак/ гориз.6,,,779,dataset/Нц-45-1035_orig.jpg,cu_data/dataset/Нц-45-1035_orig.jpg,True,Нц-45-1035,Нц-45-1035,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,multi-view,0.345463,white,True,False,керамика,1,изразец
10387,Нц-45-1233,Изразец,Изразец красноглиняный орнаментированный,Керамика,"24,9 x 9,8 x 7,6 см",Целый,Шлак/ гориз.6,,,783,dataset/Нц-45-1233_orig.jpg,cu_data/dataset/Нц-45-1233_orig.jpg,True,Нц-45-1233,Нц-45-1233,Изразец,изразец,Керамика,керамика,Целый,целый,Изразец,изразец,False,False,False,False,ok,pool_candidate,multi-view,0.383919,white,False,False,керамика,1,изразец
10395,Нц-45-1243,Изразец,Изразца красноглиняного орнаментированного с фр-т,Керамика,"10+ x 11 x 6,6 см",Фрагмент,Щепа/ гориз.7,,,787,dataset/Нц-45-1243_orig.jpg,cu_data/dataset/Нц-45-1243_orig.jpg,True,Нц-45-1243,Нц-45-1243,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,single-fragment,0.589979,white,True,False,керамика,1,изразец
10433,Нц-45-1288,Изразец,Изразец красноглиняный с белой поливой,Керамика,"16,2 x 10,7 x 6 см",Целый,Шлак/ гориз.6,,,793,dataset/Нц-45-1288_orig.jpg,cu_data/dataset/Нц-45-1288_orig.jpg,True,Нц-45-1288,Нц-45-1288,Изразец,изразец,Керамика,керамика,Целый,целый,Изразец,изразец,False,False,False,False,ok,pool_candidate,multi-view,0.257309,white,False,False,керамика,1,изразец
10601,Нц-45-1537,Изразец,Изразца красноглиняного с темной перламутровой поливой и рельефным орнаментом фр-т,Керамика,"7,9+ x 2,6+ x 3,8 см",Фрагмент,Светло-серая супесь с включением дерна/ гориз.10,,,810,dataset/Нц-45-1537_orig.jpg,cu_data/dataset/Нц-45-1537_orig.jpg,True,Нц-45-1537,Нц-45-1537,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,single-fragment,0.331438,white,True,True,керамика,1,изразец
10848,Нц-46-422,Блюдце,Блюдца фарфорового профиля клейменного фр-т (красное надглазурное клеймо «Т-ва  М.С. Кузнецова» Р.Ф.),Фарфор,"D7,4 см",Фрагмент,Шлак,,,843,dataset/Нц-46-422_orig.jpg,cu_data/dataset/Нц-46-422_orig.jpg,True,Нц-46-422,Нц-46-422,Блюдце,блюдце,Фарфор,фарфор,Фрагмент,фрагмент,Блюдце,блюдце,False,False,False,False,ok,pool_candidate,multi-view,0.177079,white,False,False,фарфор_фаянс,1,блюдце
10898,Нц-46-593,Тарелка,Тарелки фаянсовой с зеленой росписью по белой поливе внутри и белой поливой снаружи профиля фр-т,Фаянс,"9,5+ х 6+ х 0,3 см",Фрагмент,Шлак,,,848,dataset/Нц-46-593_orig.jpg,cu_data/dataset/Нц-46-593_orig.jpg,True,Нц-46-593,Нц-46-593,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.166114,white,False,True,фарфор_фаянс,1,тарелка
10910,Нц-46-727,Тарелка,Тарелки фаянсовой с полихромной росписью края по белой поливе внутри и с белой поливой снаружи края рельефного фр-т,Фаянс,"10+ х 5,5+ см",Фрагмент,Шлак,,,849,dataset/Нц-46-727_orig.jpg,cu_data/dataset/Нц-46-727_orig.jpg,True,Нц-46-727,Нц-46-727,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.200603,white,False,False,фарфор_фаянс,1,тарелка
11189,Нц-48-217,Миска,Миски  красноглиняной со сливом темно-серебристой поливой снаружи и внутри профиль,Керамика,D23 см,Фрагмент,"Темно-серая гумусированная супесь/ гориз.6, 7",,,858,dataset/Нц-48-217_orig.jpg,cu_data/dataset/Нц-48-217_orig.jpg,True,Нц-48-217,Нц-48-217,Миска,миска,Керамика,керамика,Фрагмент,фрагмент,Миска,миска,False,False,False,False,ok,pool_candidate,multi-view,0.331395,white,False,False,керамика,1,миска
