Unnamed: 0,code,name,description,material,size,fragm,cultlayer,execorg,survyear,row_id,image_file,image_abs,image_exists,artifact_id,group_key,name_raw,name_norm,material_raw,material_norm,fragm_raw,fragm_norm,raw_label,norm_label,label_is_missing,label_is_uncertain,group_has_conflict,is_very_rare,quality_flag,reason_flag
14448,Т-12-Р2-3017,Крышка,Предмета деревянного (крышка от бочки?) фр-т,Дерево,38х14 см,Фрагмент,Слой 3 (строительный мусор XIX в.)/ гориз.2,,,1164,dataset/Т-12-Р2-3017_orig.jpg,cu_data/dataset/Т-12-Р2-3017_orig.jpg,True,Т-12-Р2-3017,Т-12-Р2,Крышка,крышка,Дерево,дерево,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
14449,Т-12-Р2-3018,Крышка,Предмета деревянного со сквозным отверстием (крышка от бочки?) фр-т,Дерево,58х21 см,Фрагмент,Слой 3 (строительный мусор XIX в.)/ гориз.2,,,1165,dataset/Т-12-Р2-3018_orig.jpg,cu_data/dataset/Т-12-Р2-3018_orig.jpg,True,Т-12-Р2-3018,Т-12-Р2,Крышка,крышка,Дерево,дерево,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
14450,Т-12-Р2-3023,Крышка,Предмета деревянного (крышка от бочки?) фр-т,Дерево,43х18 см,Фрагмент,Слой 3 (строительный мусор XIX в.)/ гориз.2,,,1166,dataset/Т-12-Р2-3023_orig.jpg,cu_data/dataset/Т-12-Р2-3023_orig.jpg,True,Т-12-Р2-3023,Т-12-Р2,Крышка,крышка,Дерево,дерево,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15607,ВО-1л58-2017-0020,Изразец,Изразца (?) белоглиняного с белой поливой внутри и снаружи рельефного с голубой росписью фр-т,Керамика,10+ х 5+ х 1 см,Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1237,dataset/ВО-1л58-2017-0020_orig.jpg,cu_data/dataset/ВО-1л58-2017-0020_orig.jpg,True,ВО-1л58-2017-0020,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15608,ВО-1л58-2017-0022,Плитка,Плитки (напольной ?) (метлахской ?) серо-бежевой фр-т,Керамика,"14+ х 12,5+ х 1,5 см",Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1238,dataset/ВО-1л58-2017-0022_orig.jpg,cu_data/dataset/ВО-1л58-2017-0022_orig.jpg,True,ВО-1л58-2017-0022,ВО-1л58-2017,Плитка,плитка,Керамика,керамика,Фрагмент,фрагмент,Плитка,плитка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15639,ВО-1л58-2017-0058,Крышка,"Сосуда фаянсового с бежевой поливой снаружи и внутри ручка от крышки (либо часть рельефного декора ?) круглая, орнаментированная рельефными лепестками",Фаянс,Д=5 см,Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1245,dataset/ВО-1л58-2017-0058_orig.jpg,cu_data/dataset/ВО-1л58-2017-0058_orig.jpg,True,ВО-1л58-2017-0058,ВО-1л58-2017,Крышка,крышка,Фаянс,фаянс,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
15658,ВО-1л58-2017-0077,Крышка,Чайника/сахарницы (?) фарфорового с белой поливой внутри и снаружи  с золотой полосой крышки фр-т,Фарфор,"Д=6,5 см",Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1251,dataset/ВО-1л58-2017-0077_orig.jpg,cu_data/dataset/ВО-1л58-2017-0077_orig.jpg,True,ВО-1л58-2017-0077,ВО-1л58-2017,Крышка,крышка,Фарфор,фарфор,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15691,ВО-1л58-2017-0124,Миска (?),Сосуда (миски ?) красноглиняной  с прозрачной бесцветной поливой внутри венчика фр-т,Керамика,Д=18 см,Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1262,dataset/ВО-1л58-2017-0124_orig.jpg,cu_data/dataset/ВО-1л58-2017-0124_orig.jpg,True,ВО-1л58-2017-0124,ВО-1л58-2017,Миска (?),миска,Керамика,керамика,Фрагмент,фрагмент,Миска (?),миска,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15922,ВО-1л58-2017-0441,Миска (?),Сосуда (миски ?) красноглиняного венчика фр-т,Керамика,Д=24 см,Фрагмент,Бурая супесь с раствором и кирп. крошкой (между стенкой и лотком),ИИМК РАН,2017.0,1285,dataset/ВО-1л58-2017-0441_orig.jpg,cu_data/dataset/ВО-1л58-2017-0441_orig.jpg,True,ВО-1л58-2017-0441,ВО-1л58-2017,Миска (?),миска,Керамика,керамика,Фрагмент,фрагмент,Миска (?),миска,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15935,ВО-1л58-2017-0480,Крышка,"Чайника фарфорового с белой поливой внутри и снаружи с золоченой полосой крышка с отбитой (вероятно фигурной) ручкой и отверстием, смещенным к краю",Фарфор,"Д=8,5 см",Фрагмент,"Заполнение колодца, крупный песок",ИИМК РАН,2017.0,1289,dataset/ВО-1л58-2017-0480_orig.jpg,cu_data/dataset/ВО-1л58-2017-0480_orig.jpg,True,ВО-1л58-2017-0480,ВО-1л58-2017,Крышка,крышка,Фарфор,фарфор,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16028,ВО-1л58-2017-0631,Изразец,"Изразца (ножки ?) красноглиняного с белой поливой фр-т, румпа утрачена",Керамика,,Фрагмент,Заполнение траншеи участка,ИИМК РАН,2017.0,1317,dataset/ВО-1л58-2017-0631_orig.jpg,cu_data/dataset/ВО-1л58-2017-0631_orig.jpg,True,ВО-1л58-2017-0631,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16029,ВО-1л58-2017-0632,Изразец,"Изразца (поясного ?) красноглиняного с белой поливой фр-т, румпа отбита",Керамика,"20,5+ х 9+ х 1 см",Фрагмент,Заполнение траншеи участка,ИИМК РАН,2017.0,1318,dataset/ВО-1л58-2017-0632_orig.jpg,cu_data/dataset/ВО-1л58-2017-0632_orig.jpg,True,ВО-1л58-2017-0632,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16092,ВО-1л58-2017-0717,Изразец,"Изразца (поясного ?) красноглиняного с белой поливой бирюзовой и лиловой росписью фр-т, румпа утрачена",Керамика,"12,5+ х 10+ х 1,5 см",Фрагмент,Бурая супесь с раствором и кирпичами на дер-ом настиле и выше,ИИМК РАН,2017.0,1330,dataset/ВО-1л58-2017-0717_orig.jpg,cu_data/dataset/ВО-1л58-2017-0717_orig.jpg,True,ВО-1л58-2017-0717,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16114,ВО-1л58-2017-0753,Миска (?),Сосуда (миски ?) фаянсовой  с бежевой поливой внутри и снаружи венчика фр-т,Фаянс,Д=15 см,Фрагмент,"Супесь, песок со строит. мусором (зачистка по дерев. полу)",ИИМК РАН,2017.0,1342,dataset/ВО-1л58-2017-0753_orig.jpg,cu_data/dataset/ВО-1л58-2017-0753_orig.jpg,True,ВО-1л58-2017-0753,ВО-1л58-2017,Миска (?),миска,Фаянс,фаянс,Фрагмент,фрагмент,Миска (?),миска,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16119,ВО-1л58-2017-0767,Изразец,"Изразец-перемычка белоглиняный со следами белой поливы и синей (?) росписи, с отверстием в румпе",Керамика,"14,5 х 3 х 1,5; выс.рум=3,5 см",Целый,"Заполнение большого помещ. ""кирпичн. дома"" - песок супесь со строит мусором",ИИМК РАН,2017.0,1344,dataset/ВО-1л58-2017-0767_orig.jpg,cu_data/dataset/ВО-1л58-2017-0767_orig.jpg,True,ВО-1л58-2017-0767,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Целый,целый,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
16120,ВО-1л58-2017-0768,Изразец,"Изразец-перемычка белоглиняный со следами белой поливы и синей (?) росписи, с отверстием в румпе, фрагментированный",Керамика,"14,2 х 3 х 1,5; выс.рум=3,5 см",Фрагмент,"Заполнение большого помещ. ""кирпичн. дома"" - песок супесь со строит мусором",ИИМК РАН,2017.0,1345,dataset/ВО-1л58-2017-0768_orig.jpg,cu_data/dataset/ВО-1л58-2017-0768_orig.jpg,True,ВО-1л58-2017-0768,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
16181,ВО-1л58-2017-0868,Изразец,"Изразца красноглиняного (полочки ?) с белой поливой фр-т,",Керамика,16+ х 11+ х 1 см,Фрагмент,Разборка наброски досок и расчистка по плотной щепе под ними,ИИМК РАН,2017.0,1353,dataset/ВО-1л58-2017-0868_orig.jpg,cu_data/dataset/ВО-1л58-2017-0868_orig.jpg,True,ВО-1л58-2017-0868,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16243,ВО-1л58-2017-1005,Изразец,"Изразца (карнизного пояса-каблучка углового?) красноглиняного с белой поливой фр-т, румпа отбита",Керамика,12+ х 13+ х 1 см,Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1368,dataset/ВО-1л58-2017-1005_orig.jpg,cu_data/dataset/ВО-1л58-2017-1005_orig.jpg,True,ВО-1л58-2017-1005,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16244,ВО-1л58-2017-1006,Изразец,"Изразца (карнизного пояса-каблучка углового?) красноглиняного с белой поливой фр-т, румпа отбита",Керамика,"20+ х 11,5+ х 1 см",Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1369,dataset/ВО-1л58-2017-1006_orig.jpg,cu_data/dataset/ВО-1л58-2017-1006_orig.jpg,True,ВО-1л58-2017-1006,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16245,ВО-1л58-2017-1007,Изразец,Изразца красноглиняного (вертикального пояса ?) со скошенными краями с белой поливой фр-т,Керамика,22+ х 13+ х 1 см,Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1370,dataset/ВО-1л58-2017-1007_orig.jpg,cu_data/dataset/ВО-1л58-2017-1007_orig.jpg,True,ВО-1л58-2017-1007,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16246,ВО-1л58-2017-1008,Изразец,"Изразца (карнизного вертикального пояса-каблучка углового?) красноглиняного с белой поливой фр-т, румпа утрачена",Керамика,16+ х 10+ х 1 см,Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1371,dataset/ВО-1л58-2017-1008_orig.jpg,cu_data/dataset/ВО-1л58-2017-1008_orig.jpg,True,ВО-1л58-2017-1008,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16264,ВО-1л58-2017-1030,Изразец,"Изразца красноглиняного с зеленой люстровой поливой (муравленого ?) фр-т, румпа утрачена",Керамика,7+ х 8+х 2 см,Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1374,dataset/ВО-1л58-2017-1030_orig.jpg,cu_data/dataset/ВО-1л58-2017-1030_orig.jpg,True,ВО-1л58-2017-1030,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16266,ВО-1л58-2017-1036,Изразец,Изразец красноглиняный плоский с бортиками по двум краям (поясовый ?) с белой поливой,Керамика,"22,5 х 11,2 х 1,5; выс.рум=5 см",Целый,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1376,dataset/ВО-1л58-2017-1036_orig.jpg,cu_data/dataset/ВО-1л58-2017-1036_orig.jpg,True,ВО-1л58-2017-1036,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Целый,целый,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
16268,ВО-1л58-2017-1038,Изразец,"Изразца (карнизного вертикального пояса-каблучка углового?) красноглиняного с белой поливой фр-т, румпа утрачена",Керамика,"22 х 11,5+ х 1 см",Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1377,dataset/ВО-1л58-2017-1038_orig.jpg,cu_data/dataset/ВО-1л58-2017-1038_orig.jpg,True,ВО-1л58-2017-1038,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16269,ВО-1л58-2017-1042,Изразец,"Изразец-городок белоглиняный зубчатый (корона ?) с белой поливой, фрагментированный",Керамика,"19 х 6,5+ х 2 см",Фрагмент,Засыпка битым кирпич. и изразцами,ИИМК РАН,2017.0,1378,dataset/ВО-1л58-2017-1042_orig.jpg,cu_data/dataset/ВО-1л58-2017-1042_orig.jpg,True,ВО-1л58-2017-1042,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
